timestamp,runtime_sec,total_biomass,t0,t1,t2,t3,t4,deep_archive,lambda,phi_diff
2026-02-11T00:01:12+01:00,315,161500,161500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:01:17+01:00,320,163500,163500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:01:22+01:00,325,165500,165500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:01:27+01:00,330,167500,167500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:01:32+01:00,335,169500,169500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:01:37+01:00,340,171500,171500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:01:42+01:00,345,173500,173500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:01:47+01:00,350,175500,175500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:01:52+01:00,355,177500,177500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:01:57+01:00,360,179500,179500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:02:02+01:00,365,181500,181500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:02:07+01:00,370,183500,183500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:02:12+01:00,375,185500,185500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:02:17+01:00,380,187500,187500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:02:22+01:00,385,189500,189500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:02:27+01:00,390,191500,191500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:02:32+01:00,395,193500,193500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:02:37+01:00,400,195500,195500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:02:42+01:00,405,197500,197500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:02:47+01:00,410,199500,199500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:02:52+01:00,415,201500,201500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:02:57+01:00,420,203500,203500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:03:02+01:00,425,205500,205500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:03:07+01:00,430,207500,207500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:03:12+01:00,435,209500,209500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:03:17+01:00,440,211500,211500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:03:22+01:00,445,213500,213500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:03:27+01:00,450,215500,215500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:03:32+01:00,455,217500,217500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:03:37+01:00,460,219500,219500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:03:42+01:00,465,221500,221500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:03:47+01:00,470,223500,223500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:03:52+01:00,475,225500,225500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:03:57+01:00,480,227500,227500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:04:02+01:00,485,229500,229500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:04:07+01:00,490,231500,231500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:04:12+01:00,495,233500,233500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:04:17+01:00,500,235500,235500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:04:22+01:00,505,237500,237500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:04:27+01:00,510,239500,239500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:04:32+01:00,515,241500,241500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:04:37+01:00,520,243500,243500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:04:42+01:00,525,245500,245500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:04:47+01:00,530,247500,247500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:04:52+01:00,535,249500,249500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:04:57+01:00,540,251500,251500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:05:02+01:00,545,253500,253500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:05:07+01:00,550,255500,255500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:05:12+01:00,555,257500,257500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:05:17+01:00,560,259500,259500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:05:22+01:00,565,261500,261500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:05:27+01:00,570,263500,263500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:05:32+01:00,575,265500,265500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:05:37+01:00,580,267500,267500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:05:42+01:00,585,269500,269500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:05:47+01:00,590,271500,271500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:05:52+01:00,595,273500,273500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:05:57+01:00,600,275500,275500,0,0,0,0,0,0.000443,1.6180
2026-02-11T00:06:02+01:00,605,277500,277500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:06:07+01:00,610,279500,279500,0,0,0,0,0,0.000420,1.6180
2026-02-11T00:06:12+01:00,615,281500,281500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:06:17+01:00,620,283500,283500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:06:22+01:00,625,285500,285500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:06:27+01:00,630,287500,287500,0,0,0,0,0,0.000410,1.6180
2026-02-11T00:06:32+01:00,635,289500,289500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:06:37+01:00,640,291500,291500,0,0,0,0,0,0.005102,1.6180
2026-02-11T00:06:42+01:00,645,293500,293500,0,0,0,0,0,0.000100,1.6180
2026-02-11T00:06:47+01:00,650,295500,295500,0,0,0,0,0,0.005368,1.6180
2026-02-11T00:06:52+01:00,655,297500,297500,0,0,0,0,0,0.000517,1.6180
2026-02-11T00:06:57+01:00,660,299500,299500,0,0,0,0,0,0.007447,1.6180
2026-02-11T00:07:02+01:00,665,301500,301500,0,0,0,0,0,0.001112,1.6180
2026-02-11T00:07:07+01:00,670,303500,303500,0,0,0,0,0,0.009756,1.6180
2026-02-11T00:07:12+01:00,675,305500,305500,0,0,0,0,0,0.001700,1.6180
2026-02-11T00:07:17+01:00,680,307500,307500,0,0,0,0,0,0.012064,1.6180
2026-02-11T00:07:22+01:00,685,309500,309500,0,0,0,0,0,0.002299,1.6180
2026-02-11T00:07:27+01:00,690,311500,311500,0,0,0,0,0,0.014197,1.6180
2026-02-11T00:07:32+01:00,695,313500,313500,0,0,0,0,0,0.002713,1.6180
2026-02-11T00:07:37+01:00,700,315500,315500,0,0,0,0,0,0.016475,1.6180
2026-02-11T00:07:42+01:00,705,317500,317500,0,0,0,0,0,0.003262,1.6180
2026-02-11T00:07:47+01:00,710,319500,319500,0,0,0,0,0,0.018746,1.6180
2026-02-11T00:07:52+01:00,715,321500,321500,0,0,0,0,0,0.003578,1.6180
2026-02-11T00:07:57+01:00,720,323500,323500,0,0,0,0,0,0.020792,1.6180
2026-02-11T00:08:02+01:00,725,325500,325500,0,0,0,0,0,0.004095,1.6180
2026-02-11T00:08:07+01:00,730,327500,327500,0,0,0,0,0,0.022765,1.6180
2026-02-11T00:08:12+01:00,735,329500,329500,0,0,0,0,0,0.004295,1.6180
2026-02-11T00:08:17+01:00,740,331500,331500,0,0,0,0,0,0.024901,1.6180
2026-02-11T00:08:22+01:00,745,333500,333500,0,0,0,0,0,0.034562,1.6180
2026-02-11T00:08:27+01:00,750,335500,335500,0,0,0,0,0,0.079286,1.6180
2026-02-11T00:08:32+01:00,755,337500,337500,0,0,0,0,0,0.125097,1.6180
2026-02-11T00:08:37+01:00,760,339500,339500,0,0,0,0,0,0.172988,1.6180
2026-02-11T00:08:42+01:00,765,341500,341500,0,0,0,0,0,0.223033,1.6180
2026-02-11T00:08:47+01:00,770,343500,343500,0,0,0,0,0,0.273961,1.6180
2026-02-11T00:08:52+01:00,775,345500,345500,0,0,0,0,0,0.326613,1.6180
2026-02-11T00:08:57+01:00,780,347500,347500,0,0,0,0,0,0.381899,1.6180
2026-02-11T00:09:02+01:00,785,349500,349500,0,0,0,0,0,0.437862,1.6180
2026-02-11T00:09:07+01:00,790,351500,351500,0,0,0,0,0,0.496552,1.6180
2026-02-11T00:09:12+01:00,795,353505,352663,842,0,0,0,0,0.547341,1.6156
2026-02-11T00:09:17+01:00,800,355505,353595,1910,0,0,0,0,0.616831,1.6126
2026-02-11T00:09:22+01:00,805,357506,353570,3936,0,0,0,0,0.666017,1.6069
